Dataset,Primary_Model,Secondary_Model,Hybrid_Combination,Accuracy,Precision,Recall,F1_Score,AUC,Time_Seconds
D3,M2,M6,M2 + M6,0.984,0.9898167006109979,0.9778672032193159,0.9838056680161943,0.9994759811353209,0.9241087436676025
D3,M3,M6,M3 + M6,0.982,0.9897750511247444,0.9738430583501007,0.9817444219066938,0.999023964862735,0.30179619789123535
D3,M4,M6,M4 + M6,0.976,0.9958071278825996,0.9557344064386318,0.9753593429158111,0.9979859274933898,0.6694200038909912
D3,M5,M6,M5 + M6,0.942,0.9720430107526882,0.9094567404426559,0.9397089397089398,0.9828553827937805,1.130019187927246
D3,M1,M7,M1 + M7,0.965,0.979253112033195,0.9496981891348089,0.9642492339121552,0.9954278354020745,2.279284954071045
D3,M2,M7,M2 + M7,0.984,0.9918200408997955,0.9758551307847082,0.9837728194726166,0.9995159825753728,0.8399081230163574
D3,M3,M7,M3 + M7,0.983,0.9878048780487805,0.9778672032193159,0.9828109201213346,0.998891960110564,0.21216297149658203
D3,M4,M7,M4 + M7,0.983,0.9958677685950413,0.9698189134808853,0.9826707441386341,0.9977479189250814,0.6907730102539062
D3,M5,M7,M5 + M7,0.936,0.9655913978494624,0.903420523138833,0.9334719334719335,0.9819673508246296,1.3562920093536377
D3,M1,M8,M1 + M8,0.972,0.9835051546391752,0.959758551307847,0.9714867617107943,0.9957238460584581,2.239208936691284
D3,M2,M8,M2 + M8,0.984,0.9898167006109979,0.9778672032193159,0.9838056680161943,0.9993839778232017,0.6799538135528564
D3,M3,M8,M3 + M8,0.983,0.9918032786885246,0.9738430583501007,0.9827411167512691,0.9983159393738175,0.19644999504089355
D3,M4,M8,M4 + M8,0.983,0.9958677685950413,0.9698189134808853,0.9826707441386341,0.997155897612314,0.6727721691131592
D3,M5,M8,M5 + M8,0.948,0.9625779625779626,0.93158953722334,0.9468302658486708,0.984569444500002,1.129481315612793
D3,M1,M9,M1 + M9,0.972,0.9855072463768116,0.9577464788732394,0.9714285714285714,0.9961398610349972,2.199333906173706
D3,M2,M9,M2 + M9,0.984,0.9918200408997955,0.9758551307847082,0.9837728194726166,0.9995599841594298,0.5489270687103271
D3,M3,M9,M3 + M9,0.987,0.9938775510204082,0.9798792756539235,0.9868287740628167,0.9985119464300715,0.1922619342803955
D3,M4,M9,M4 + M9,0.977,0.99581589958159,0.9577464788732394,0.9764102564102564,0.9969138889000003,0.6789860725402832
D3,M5,M9,M5 + M9,0.944,0.9681528662420382,0.9175050301810865,0.9421487603305785,0.9789512422447209,1.1125919818878174
D3,M1,M10,M1 + M10,0.968,0.9833679833679834,0.9517102615694165,0.967280163599182,0.9961478613230076,2.2043209075927734
D3,M2,M10,M2 + M10,0.983,0.9897959183673469,0.9758551307847082,0.9827760891590679,0.9995039821433571,0.5660371780395508
D3,M3,M10,M3 + M10,0.983,0.9918032786885246,0.9738430583501007,0.9827411167512691,0.998979963278678,0.1879420280456543
